# Foundry naming map (generated by generate_map.py).
# Do not edit by hand: edit seed.tsv and regenerate.
# Applied LONGEST-MATCH-FIRST. Excludes thirdparty/** and .git/**.
#
# from	to	category	context	notes
GDExtensionVariantOperator	FoundryExtensionVariantOperator	B	code	generated
GODOT_CLANG_WARNING_IGNORE	FOUNDRY_CLANG_WARNING_IGNORE	D	code	generated
GODOT_DEBUG_DELTA_SMOOTHER	FOUNDRY_DEBUG_DELTA_SMOOTHER	D	code	generated
GODOT_JS_FETCH_STATE_ERROR	FOUNDRY_JS_FETCH_STATE_ERROR	D	code	generated
GODOT_SILENCE_ROOT_WARNING	FOUNDRY_SILENCE_ROOT_WARNING	D	code	generated
dump-gdextension-interface	dump-foundryextension-interface	B	code	CLI flag (covers -json suffix)
dump_gdextension_interface	dump_foundry_extension_interface	B	code
load_platform_gdextensions	load_platform_foundry_extensions	B	code
populate_gdscript_metadata	populate_foundry_script_metadata	A	code
GDExtensionClassReference	FoundryExtensionClassReference	B	code	generated
GDExtensionConstObjectPtr	FoundryExtensionConstObjectPtr	B	code	generated
GDExtensionConstStringPtr	FoundryExtensionConstStringPtr	B	code	generated
GDExtensionFunctionLoader	FoundryExtensionFunctionLoader	B	code	generated
GDExtensionInitialization	FoundryExtensionInitialization	B	code	generated
GDExtensionPtrConstructor	FoundryExtensionPtrConstructor	B	code	generated
GDExtensionPtrKeyedGetter	FoundryExtensionPtrKeyedGetter	B	code	generated
GDExtensionPtrKeyedSetter	FoundryExtensionPtrKeyedSetter	B	code	generated
GDExtensionResourceLoader	FoundryExtensionResourceLoader	B	code	generated
GDREGISTER_ABSTRACT_CLASS	FOUNDRY_REGISTER_ABSTRACT_CLASS	C	code
GDREGISTER_INTERNAL_CLASS	FOUNDRY_REGISTER_INTERNAL_CLASS	C	code	generated
GDScriptByteCodeGenerator	FSByteCodeGenerator	A	code
GDScriptSyntaxHighlighter	FSSyntaxHighlighter	A	code
GODOT_JS_FETCH_STATE_BODY	FOUNDRY_JS_FETCH_STATE_BODY	D	code	generated
GODOT_JS_FETCH_STATE_DONE	FOUNDRY_JS_FETCH_STATE_DONE	D	code	generated
GODOT_MONO_DEBUGGER_AGENT	FOUNDRY_MONO_DEBUGGER_AGENT	D	code	generated
GODOT_MSVC_WARNING_IGNORE	FOUNDRY_MSVC_WARNING_IGNORE	D	code	generated
GODOT_VERSION_DOCS_BRANCH	FOUNDRY_VERSION_DOCS_BRANCH	D	code	generated
GODOT_VERSION_FULL_CONFIG	FOUNDRY_VERSION_FULL_CONFIG	D	code	generated
GODOT_mesh_blend_channels	FOUNDRY_mesh_blend_channels	D	code	generated
TestGDScriptCacheAccessor	TestFSCacheAccessor	A	code
_get_gdscript_cache_mutex	_get_fs_cache_mutex	A	code
getGDExtensionConfigFiles	getFoundryExtensionConfigFiles	B	code	android JNI method name (both sides)
load_gdextension_resource	load_foundry_extension_resource	B	code
rename_gdscript_functions	rename_foundry_script_functions	A	code
GDExtensionCallErrorType	FoundryExtensionCallErrorType	B	code	generated
GDExtensionClassToString	FoundryExtensionClassToString	B	code	generated
GDExtensionEditorPlugins	FoundryExtensionEditorPlugins	B	code	generated
GDExtensionGodotVersion2	FoundryExtensionGodotVersion2	B	code	generated
GDExtensionInterfaceDump	FoundryExtensionInterfaceDump	B	code	generated
GDExtensionLibraryLoader	FoundryExtensionLibraryLoader	B	code	generated
GDExtensionMethodBindPtr	FoundryExtensionMethodBindPtr	B	code	generated
GDExtensionPtrDestructor	FoundryExtensionPtrDestructor	B	code	generated
GDExtensionStringNamePtr	FoundryExtensionStringNamePtr	B	code	generated
GDREGISTER_NATIVE_STRUCT	FOUNDRY_REGISTER_NATIVE_STRUCT	C	code	generated
GDREGISTER_RUNTIME_CLASS	FOUNDRY_REGISTER_RUNTIME_CLASS	C	code	generated
GDREGISTER_VIRTUAL_CLASS	FOUNDRY_REGISTER_VIRTUAL_CLASS	C	code	generated
GDScriptLanguageProtocol	FSLanguageProtocol	A	code
GODOT_CALL_ERROR_CALL_OK	FOUNDRY_CALL_ERROR_CALL_OK	D	code	generated
